id,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Downtown,PerCapitaIncome,most_freq_aspect
1919372,Entire home/apt,323.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,4.51,4002.55700159187,82570,int_style
1920033,Private room,610.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.43,6799.20846868117,93008,comm
1925206,Private room,140.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,3.76,7916.71149861828,45475,nature
1925714,Entire home/apt,38.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.58,526.29412766458,19552,int_style
1926253,Entire home/apt,197.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2.88,8234.32139519119,29689,bldg
1931459,Entire home/apt,65.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9,2951.6297601860997,117804,attr_trans
1931763,Private room,177.0,92.0,10.0,10.0,10.0,10.0,10.0,10.0,2.57,3963.2776968325607,61738,bldg
1931788,Private room,117.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.01,4947.3043474572705,61988,comm
1932019,Entire home/apt,136.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.93,7391.7921667234805,79636,bldg
1935904,Entire home/apt,7.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,0.11,3999.3677095161497,59299,int_style
1937575,Private room,19.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.27,4007.1178018115,59299,bldg
1940496,Private room,83.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.46,5039.77230897149,53640,int_style
1944564,Entire home/apt,219.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.09,3417.6706048401197,63187,visitor
1945508,Private room,71.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.13,4337.88200481266,110777,nbhd
1954514,Private room,84.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1.18,4546.03415950497,84345,int_style
1959880,Private room,103.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2.08,6009.555116488411,72179,int_style
1960773,Entire home/apt,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.04,4995.38688290008,106653,int_style
1970257,Entire home/apt,53.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,4711.94301264842,50836,int_style
1970756,Entire home/apt,24.0,88.0,9.0,9.0,10.0,10.0,9.0,9.0,0.34,6191.532316000041,59758,nbhd
1975404,Entire home/apt,117.0,98.0,10.0,9.0,9.0,10.0,10.0,9.0,1.65,4272.2598078286,110777,int_style
1978669,Private room,10.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.14,459.226199829699,132729,attr_trans
1979461,Entire home/apt,15.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.3,928.5192546052699,132729,comm
1984709,Entire home/apt,295.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,4.13,9669.82251747994,53373,int_style
1985338,Private room,182.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.55,6147.68514945755,72179,bldg
1989997,Private room,286.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.99,4264.89563045717,110777,nature
1992217,Private room,341.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,4.76,4872.77439245799,106443,nbhd
1992988,Entire home/apt,4.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06,5326.59650125742,75446,comm
1995487,Private room,480.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,6.68,4178.63550230301,61738,comm
1998111,Private room,374.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,5.26,8262.64299752573,45038,bldg
2001534,Entire home/apt,5.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.1,6233.396370836031,59758,int_style
2007101,Entire home/apt,26.0,93.0,10.0,9.0,10.0,10.0,9.0,9.0,0.36,1560.39156716081,59622,attr_trans
2011311,Entire home/apt,23.0,84.0,9.0,8.0,10.0,9.0,9.0,8.0,0.36,4927.33422746235,53640,comm
2016198,Private room,313.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,4.47,10383.4986194374,40612,facil
2020393,Entire home/apt,46.0,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0.66,3307.1623574359,54491,nbhd
2022751,Entire home/apt,20.0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0.28,4283.722962836429,103914,nature
2023326,Entire home/apt,4.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.06,6329.21490541173,75192,bedroom
2026910,Entire home/apt,143.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,2.04,5243.236421342071,71862,int_style
2042095,Private room,283.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.07,7705.641629177809,67198,bedroom
2046634,Private room,367.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,5.12,8251.89150182126,45038,bldg
2046807,Entire home/apt,144.0,89.0,9.0,9.0,10.0,9.0,10.0,9.0,2.12,4031.7789002634795,61738,bldg
2047469,Private room,383.0,94.0,10.0,10.0,10.0,10.0,9.0,10.0,5.39,8211.22882364237,45038,bldg
2049672,Entire home/apt,23.0,96.0,10.0,10.0,9.0,9.0,10.0,9.0,0.36,3987.89031905435,108968,kitchen
2049955,Entire home/apt,175.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.46,5749.57020385515,68111,bedroom
2058119,Private room,82.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.14,4133.624478070179,108968,comm
2062696,Private room,126.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.79,5270.17698004617,61988,int_style
2063077,Entire home/apt,20.0,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0.28,7460.118359948729,67198,visitor
2072098,Entire home/apt,27.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0.39,3235.79301110396,118479,nbhd
2072133,Private room,13.0,93.0,10.0,8.0,10.0,10.0,10.0,9.0,0.19,4955.332177226671,98656,attr_trans
2074270,Entire home/apt,33.0,90.0,9.0,10.0,10.0,10.0,10.0,8.0,0.46,2900.09316512091,74516,int_style
2074584,Entire home/apt,175.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,2.49,3662.95880756142,54491,int_style
2081536,Private room,47.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.81,3825.7000629763,82570,comm
2088622,Private room,360.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,5.06,8256.97679292386,45038,bldg
